"MCHC"	"cell #"	"D"	"height"	"<u>"	"radius"	"area"	"volume"	"sphericity"	"<u>"	"C2-1"	"C2-2"	"C2-R"	"HMAX"	"SMAX"	"Concavity"	"D1"	"D2"	"DR"
32	2.5	3.136	2.407403	15.44403375	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	3.234	2.312011	15.97167075	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	3.332	2.1917135	16.72000925	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	3.43	2.04479675	17.59878025	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	3.528	1.87206925	18.4966475	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	3.626	1.67787725	19.3242675	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	3.724	1.4700635	19.89748725	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	3.822	1.258182	20.14789075	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	3.92	1.050929	20.0083315	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	4.018	0.8544265	19.53557475	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	4.116	0.6726935	18.7190905	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	4.214	0.50978475	17.6747325	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	4.312	0.370257	16.48346875	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	4.41	0.25737375	15.25765125	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	4.508	0.171203	14.129332	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	4.606	0.1102155	13.2555125	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	4.704	0.07157725	12.606923	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	4.802	0.048125	12.23856125	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	4.9	0.03523425	12.0945475	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	4.998	0.02870775	12.06347725	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	5.096	0.02613475	12.0688975	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	5.194	0.0253105	12.06469975	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	5.292	0.0250485	11.980201	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
32	2.5	5.39	0.024744	11.8627835	3.773	135.1045575	100.344157	0.772911	18.66841425	0.00018475	0.000124	0.0001765	2.61686975	0.92862925	1.087907	1.2495	2.5725	3.773
