"MCHC"	"cell #"	"D"	"height"	"<u>"	"radius"	"area"	"volume"	"sphericity"	"<u>"	"C2-1"	"C2-2"	"C2-R"	"HMAX"	"SMAX"	"Concavity"	"D1"	"D2"	"DR"
32	1	3.528	1.748404	16.306965	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	3.626	1.594302	16.907896	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	3.724	1.423627	17.383306	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	3.822	1.2429	17.695187	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	3.92	1.05941	17.632868	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	4.018	0.87995	17.398625	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	4.116	0.709759	16.906015	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	4.214	0.553073	16.17564	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	4.312	0.413593	15.386939	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	4.41	0.294334	14.533029	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	4.508	0.197244	13.716055	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	4.606	0.1228	13.134348	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	4.704	0.075852	12.627894	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	4.802	0.046697	12.285931	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	4.9	0.027766	12.083986	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	4.998	0.016724	11.938111	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	5.096	0.011321	11.860558	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	5.194	0.009514	11.790494	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
32	1	5.292	0.009667	11.69875	3.822	134.055371	91.236501	0.731104	15.258595	0.000135	0.000102	0.000136	2.270826	0.739418	0.80506	1.372	2.744	3.822
